datetime;validation;test;activation;batch_size;factor_flag;learning_rate;method;mode;momentum;n_units_l1;n_units_l2;n_units_l3;nesterov;num_hidden_layers;optim;scaler
2023-12-19 22:44:59.574694;0,5308688879013062;;selu;64;False;0,18133744867434864;;vanilla;0,018134656268010942;20;9,0;;True;2;sgd;maxabs
2023-12-19 22:45:57.583401;0,5266768336296082;;selu;128;False;0,23621311113545537;;vanilla;0,028479385579077712;23;20,0;;True;2;sgd;minmax
2023-12-19 22:46:32.242578;0,5293444991111755;;relu;64;False;0,320051657205227;;vanilla;0,013393081808295453;21;7,0;;True;2;sgd;maxabs
2023-12-19 22:47:29.765381;0,5205792784690857;;selu;64;False;0,257119265112182;pca;vanilla;0,023307029084728693;22;6,0;;True;2;sgd;maxabs
2023-12-19 22:48:27.374124;0,5318216681480408;;selu;64;False;0,3040105520728682;;vanilla;0,025703798326601912;24;11,0;;True;2;sgd;maxabs
2023-12-19 22:49:24.708695;0,5306783318519592;;selu;64;False;0,37837910470363345;;vanilla;0,02938035987250427;25;19,0;;True;2;sgd;maxabs
2023-12-19 22:50:23.091719;0,5304877758026123;;selu;64;False;0,4895859271763545;;vanilla;0,037167997336328654;23;18,0;;True;2;sgd;maxabs
2023-12-19 22:51:21.318390;0,5318216681480408;;selu;64;False;0,21668704685254342;;vanilla;0,019928653865963902;24;17,0;;True;2;sgd;maxabs
2023-12-19 22:52:17.419127;0,5259765386581421;;selu;256;False;0,3355222664062612;;vanilla;0,046142367624864754;23;20,0;;True;2;sgd;maxabs
2023-12-19 22:52:48.233721;0,5318216681480408;;selu;64;False;0,19113229206530694;;vanilla;0,016219934955754432;24;16,0;;True;2;sgd;maxabs
2023-12-19 22:53:44.424297;0,5285823345184326;;selu;64;False;0,27441915693192714;;batchnorm;0,02476432344888333;26;17,0;29,0;True;3;sgd;maxabs
2023-12-19 22:54:47.479804;0,4594131112098694;;selu;64;False;0,2364763749571275;;vanilla;;22;15,0;;;2;adam;maxabs
2023-12-19 22:55:47.849069;0,5295350551605225;;selu;64;False;0,41302632808660905;;vanilla;0,03428375198362987;21;19,0;16,0;True;3;sgd;maxabs
2023-12-19 22:56:45.033844;0,4033917784690857;;selu;64;True;0,3126482577417303;;vanilla;0,028522541652216467;20;18,0;;True;2;sgd;maxabs
2023-12-19 22:57:43.447533;0,5346798896789551;;selu;64;False;0,28257234526164454;;vanilla;0,01956719737277786;24;19,0;;True;2;sgd;maxabs
2023-12-19 22:58:40.894948;0,5341082215309143;;selu;64;False;0,2756496746509245;;vanilla;0,020387896601657515;24;20,0;;True;2;sgd;maxabs
