match;Date;season;Div;HomeTeam;AwayTeam;FTHG;FTAG;label;prediction_sota;draw_sota;home_sota;away_sota;prediction_own;draw_own;home_own;away_own;accurate_flag_sota;rps_sota;accurate_flag_own;rps_own;dif_res
16022;2020-02-09;T19-20;E0;Sheffield United;Bournemouth;2;1;1,0;1,0;0,2888;0,4998;0,2114;1,0;0,2443;0,5981;0,1575;1,0;0,06404770000000001;1,0;0,04226012500000001;-0,021787575000000003
26635;2020-02-09;T19-20;F1;Paris SG;Lyon;4;2;1,0;1,0;0,1854;0,6681;0,1465;1,0;0,1204;0,8318;0,0478;1,0;0,027917704999999998;1,0;0,008390500000000002;-0,019527204999999995
26634;2020-02-09;T19-20;F1;Strasbourg;Reims;3;0;1,0;1,0;0,2964;0,4384;0,2653;1,0;0,2997;0,4432;0,2571;1,0;0,079092;1,0;0,07796025000000001;-0,001131749999999987
26633;2020-02-09;T19-20;F1;Montpellier;St Etienne;1;0;1,0;1,0;0,2885;0,4678;0,2437;1,0;0,2722;0,5285;0,1994;1,0;0,07131097;1,0;0,056906665;-0,014404305
6002;2020-02-14;T19-20;D1;Dortmund;Ein Frankfurt;4;0;1,0;1,0;0,157;0,7372;0,1057;1,0;0,1315;0,8148;0,0538;1,0;0,01792132;1,0;0,010087970000000005;-0,007833349999999996
26636;2020-02-14;T19-20;F1;Monaco;Montpellier;1;0;1,0;1,0;0,2871;0,4716;0,2413;1,0;0,2954;0,4441;0,2605;1,0;0,07032605;1,0;0,07756070499999998;0,007234654999999979
16025;2020-02-15;T19-20;E0;Norwich;Liverpool;0;1;2,0;2,0;0,1862;0,1325;0,6813;2,0;0,1745;0,132;0,6935;1,0;0,068120065;1,0;0,062196249999999995;-0,005923814999999999
35129;2020-02-15;T19-20;I1;Atalanta;Roma;2;1;1,0;1,0;0,2768;0,4292;0,2941;1,0;0,1594;0,766;0,0746;1,0;0,08152712000000001;1,0;0,015486759999999997;-0,06604036
35127;2020-02-15;T19-20;I1;Lecce;Spal;2;1;1,0;1,0;0,2496;0,4992;0,2513;1,0;0,2634;0,5511;0,1855;1,0;0,06270080000000003;1,0;0,051894905000000005;-0,010805895000000024
26640;2020-02-15;T19-20;F1;Nimes;Angers;1;0;1,0;1,0;0,2945;0,4749;0,2307;1,0;0,2697;0,5349;0,1954;1,0;0,06995330500000001;1,0;0,055459625;-0,014493680000000009
6008;2020-02-15;T19-20;D1;Fortuna Dusseldorf;M'gladbach;1;4;2,0;2,0;0,2783;0,3259;0,3958;2,0;0,2423;0,2063;0,5514;1,0;0,22125426500000003;1,0;0,12997562499999998;-0,09127864000000005
6007;2020-02-15;T19-20;D1;Union Berlin;Leverkusen;2;3;2,0;2,0;0,2576;0,2884;0,454;2,0;0,2483;0,2225;0,5292;1,0;0,18223688000000002;1,0;0,14165276499999999;-0,04058411500000003
6006;2020-02-15;T19-20;D1;RB Leipzig;Werder Bremen;3;0;1,0;1,0;0,2048;0,6506;0,1446;1,0;0,1337;0,8114;0,0549;1,0;0,03142610000000001;1,0;0,010444849999999999;-0,020981250000000014
26641;2020-02-15;T19-20;F1;Toulouse;Nice;0;2;2,0;2,0;0,2729;0,3323;0,3948;2,0;0,2914;0,2992;0,4093;1,0;0,22037072499999996;1,0;0,21686116000000003;-0,0035095649999999368
45230;2020-02-15;T19-20;SP1;Villarreal;Levante;2;1;1,0;1,0;0,2641;0,5478;0,1881;1,0;0,2367;0,6005;0,1628;1,0;0,05256521;1,0;0,04126536499999999;-0,01129984500000001
45229;2020-02-15;T19-20;SP1;Barcelona;Getafe;2;1;1,0;1,0;0,189;0,6975;0,1135;1,0;0,0928;0,8764;0,0309;1,0;0,024301624999999993;1,0;0,004780240000000001;-0,019521384999999992
45228;2020-02-15;T19-20;SP1;Mallorca;Alaves;1;0;1,0;1,0;0,2911;0,4294;0,2795;1,0;0,3005;0,4397;0,2598;1,0;0,08142973;1,0;0,078898145;-0,002531585000000003
45231;2020-02-15;T19-20;SP1;Granada;Valladolid;2;1;1,0;1,0;0,2907;0,4858;0,2235;1,0;0,3092;0,3559;0,3348;1,0;0,06722937000000001;1,0;0,103881325;0,036651954999999986
35134;2020-02-16;T19-20;I1;Cagliari;Napoli;0;1;2,0;2,0;0,2444;0,2506;0,505;2,0;0,2128;0,172;0,6153;1,0;0,15237818;1,0;0,09667743999999999;-0,05570074000000001
35132;2020-02-16;T19-20;I1;Sampdoria;Fiorentina;1;5;2,0;1,0;0,2927;0,4156;0,2916;2,0;0,3061;0,3259;0,3681;0,0;0,29368109000000003;1,0;0,246560605;-0,047120485000000045
35131;2020-02-16;T19-20;I1;Juventus;Brescia;2;0;1,0;1,0;0,1175;0,8263;0,0562;1,0;0,0917;0,8776;0,0306;1,0;0,008482345;1,0;0,004675689999999999;-0,0038066550000000017
35135;2020-02-16;T19-20;I1;Lazio;Inter;2;1;1,0;1,0;0,2624;0,4186;0,319;1,0;0,2824;0,3879;0,3297;1,0;0,08530737999999999;1,0;0,09422592499999999;0,008918545
